,h3_09,SHAPE
134,8928d59a54fffff,"""{\""rings\"":[[[-122.82157305399994,47.048855487000026],[-122.82413687899998,47.048619461000044],[-122.82552922799999,47.049937517000046],[-122.82435775499999,47.051491619000046],[-122.82179384799997,47.051727662000076],[-122.82040149599999,47.050409586000058],[-122.82157305399994,47.048855487000026]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
135,8928f364963ffff,"""{\""rings\"":[[[-122.85407275099999,47.018375168000034],[-122.85663506499998,47.018138576000069],[-122.85802714499999,47.019456799000068],[-122.85685691399999,47.021011633000057],[-122.85429451899995,47.021248243000059],[-122.85290243599997,47.019930001000034],[-122.85407275099999,47.018375168000034]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
136,8928d591cabffff,"""{\""rings\"":[[[-122.94965447299995,47.052897739000059],[-122.95221607199994,47.052658931000053],[-122.95360938699997,47.053974831000062],[-122.95244110799996,47.055529560000025],[-122.94987942799997,47.055768386000068],[-122.94848610899999,47.054452466000043],[-122.94965447299995,47.052897739000059]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
137,8928d591537ffff,"""{\""rings\"":[[[-122.92458039499996,47.029201945000068],[-122.92714174099996,47.028963783000052],[-122.92853449299997,47.030280625000046],[-122.92736590299995,47.031835648000026],[-122.92480447499997,47.03207382800008],[-122.92341171899994,47.030756967000059],[-122.92458039499996,47.029201945000068]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
138,8928d5912bbffff,"""{\""rings\"":[[[-122.86793591999998,47.04747057000003],[-122.87049885599998,47.047233549000055],[-122.87189150899997,47.048550889000069],[-122.87072123099995,47.050105271000064],[-122.86815821299996,47.050342310000076],[-122.86676555599996,47.049024949000056],[-122.86793591999998,47.04747057000003]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
139,8928d59064fffff,"""{\""rings\"":[[[-122.92763779899997,47.018792245000043],[-122.93019877599994,47.018554064000057],[-122.93159137999999,47.019871091000027],[-122.93042300999997,47.021426320000046],[-122.92786195099995,47.021664520000058],[-122.92646934399994,47.020347472000026],[-122.92763779899997,47.018792245000043]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
140,8928d591cc7ffff,"""{\""rings\"":[[[-122.93778976199997,47.049665394000044],[-122.94035148099999,47.049426856000025],[-122.94174466099997,47.050743021000073],[-122.94057612499995,47.052297744000043],[-122.93801432299995,47.052536300000043],[-122.93662113999994,47.051220115000035],[-122.93778976199997,47.049665394000044]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
141,8928d591553ffff,"""{\""rings\"":[[[-122.90107920799994,47.025598524000031],[-122.90364087699999,47.025360885000055],[-122.90503340599997,47.026678187000073],[-122.90386426799995,47.028233148000027],[-122.90130251699998,47.028470804000051],[-122.89990998499997,47.027153483000063],[-122.90107920799994,47.025598524000031]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
142,8928d5912d7ffff,"""{\""rings\"":[[[-122.85606918799999,47.044228539000073],[-122.85863224299999,47.043991789000074],[-122.86002475999999,47.045309395000061],[-122.85885422499996,47.046863770000073],[-122.85629108699999,47.047100538000052],[-122.85489856699996,47.045782913000039],[-122.85606918799999,47.044228539000073]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
143,8928d59105bffff,"""{\""rings\"":[[[-122.87122432699999,47.039935210000067],[-122.87378697499997,47.039698151000039],[-122.87517952799999,47.041015610000045],[-122.87400943699998,47.042570147000049],[-122.87144670599997,47.042807223000068],[-122.87005414999999,47.041489745000035],[-122.87122432699999,47.039935210000067]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
144,8928d59066bffff,"""{\""rings\"":[[[-122.93181566199996,47.022743279000053],[-122.93437667999996,47.022504990000073],[-122.93576937799997,47.023821861000044],[-122.93460105899999,47.02537704100007],[-122.93203995899995,47.025615348000031],[-122.93064725799996,47.024298457000043],[-122.93181566199996,47.022743279000053]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
145,8928d59a587ffff,"""{\""rings\"":[[[-122.84002559799995,47.037030872000059],[-122.84258872899994,47.036794500000042],[-122.84398101499994,47.038112527000067],[-122.84281017299998,47.039666945000079],[-122.84024695899996,47.039903335000076],[-122.83885466999999,47.038585288000036],[-122.84002559799995,47.037030872000059]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
146,8928d591d53ffff,"""{\""rings\"":[[[-122.95801475199994,47.060792573000072],[-122.96057643399996,47.06055354800003],[-122.96196993799998,47.061869135000052],[-122.96080176199996,47.063423765000039],[-122.95823999799995,47.063662807000071],[-122.95684649199995,47.06234720100008],[-122.95801475199994,47.060792573000072]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
147,8928d591077ffff,"""{\""rings\"":[[[-122.88704516699994,47.04425574000004],[-122.88960765499996,47.044018321000067],[-122.89100038999999,47.045335427000055],[-122.88983064099995,47.046889971000041],[-122.88726806999995,47.047127408000051],[-122.88587533099997,47.045810283000037],[-122.88704516699994,47.04425574000004]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
148,8928d59ad17ffff,"""{\""rings\"":[[[-122.89345458099996,47.076916243000028],[-122.89601793499997,47.076678540000046],[-122.89741125099999,47.077994803000081],[-122.89624121499997,47.079548788000068],[-122.89367777699999,47.079786508000041],[-122.89228445899994,47.078470226000036],[-122.89345458099996,47.076916243000028]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
149,8928d59a5a3ffff,"""{\""rings\"":[[[-122.84420250699998,47.040984903000037],[-122.84676568099997,47.040748424000071],[-122.84815806099999,47.042066294000051],[-122.84698726999994,47.04362066300007],[-122.84442401399997,47.043857161000062],[-122.84303163099997,47.042539271000066],[-122.84420250699998,47.040984903000037]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
150,8928f3649b7ffff,"""{\""rings\"":[[[-122.87251054999996,47.006543160000035],[-122.87507216899996,47.006306222000035],[-122.87646418599996,47.007624416000056],[-122.87529458599994,47.009179566000057],[-122.87273288399996,47.009416522000038],[-122.87134086399999,47.008098308000058],[-122.87251054999996,47.006543160000035]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
151,8928d59130fffff,"""{\""rings\"":[[[-122.88838280799996,47.061483953000049],[-122.89094579099998,47.061246428000061],[-122.89233881799998,47.062563122000029],[-122.89116886599999,47.064117360000068],[-122.88860579999999,47.064354903000037],[-122.88721276999996,47.063038189000054],[-122.88838280799996,47.061483953000049]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
152,8928d591093ffff,"""{\""rings\"":[[[-122.88966249399999,47.028103423000061],[-122.89222444799998,47.027866020000033],[-122.89361693699999,47.029183449000072],[-122.89244747599997,47.030738302000032],[-122.88988543999994,47.03097572300004],[-122.88849294699997,47.029658274000042],[-122.88966249399999,47.028103423000061]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
153,8928d5915a7ffff,"""{\""rings\"":[[[-122.92808611699996,47.024536674000046],[-122.93064725799996,47.024298457000043],[-122.93203995899995,47.025615348000031],[-122.93087152099997,47.027170475000048],[-122.92831029799999,47.027408709000042],[-122.92691759399997,47.026091799000028],[-122.92808611699996,47.024536674000046]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
154,8928d59132bffff,"""{\""rings\"":[[[-122.89256194099994,47.065433986000073],[-122.89512496599997,47.065196353000033],[-122.89651808699995,47.06651289000007],[-122.89534818599998,47.068067080000048],[-122.89278507899996,47.068304730000079],[-122.89139195499996,47.066988173000027],[-122.89256194099994,47.065433986000073]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
155,8928d5910afffff,"""{\""rings\"":[[[-122.89824105399998,47.038879319000046],[-122.90080317499996,47.038641682000048],[-122.90219590099997,47.039958729000034],[-122.90102650899996,47.041513432000045],[-122.89846430599999,47.04175108700008],[-122.89707157699996,47.040434020000077],[-122.89824105399998,47.038879319000046]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
156,8928f364973ffff,"""{\""rings\"":[[[-122.85385099899997,47.015501973000028],[-122.85641322899994,47.015265398000054],[-122.85780526099995,47.016583690000061],[-122.85663506499998,47.018138576000069],[-122.85407275099999,47.018375168000034],[-122.85268071699994,47.017056857000057],[-122.85385099899997,47.015501973000028]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
157,8928d591347ffff,"""{\""rings\"":[[[-122.88069353499998,47.062196202000052],[-122.88325667999999,47.061958840000045],[-122.88464966499998,47.063275641000075],[-122.88347950699995,47.064829825000061],[-122.88091627999995,47.065067204000059],[-122.87952329199999,47.06375038300007],[-122.88069353499998,47.062196202000052]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
158,8928d591363ffff,"""{\""rings\"":[[[-122.88487254099999,47.066146558000071],[-122.88743572799996,47.065909088000069],[-122.88882880699998,47.067225733000043],[-122.88765870099996,47.068779867000046],[-122.88509543099997,47.069017355000028],[-122.88370234899998,47.067700690000038],[-122.88487254099999,47.066146558000071]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
159,8928d59109bffff,"""{\""rings\"":[[[-122.88593087099997,47.029895605000036],[-122.88849294699997,47.029658274000042],[-122.88988543999994,47.03097572300004],[-122.88871585899994,47.032530523000048],[-122.88615369999997,47.032767872000079],[-122.88476120399997,47.031450403000065],[-122.88593087099997,47.029895605000036]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
160,8928d590237ffff,"""{\""rings\"":[[[-122.95225918899996,47.036748957000043],[-122.95482025299998,47.036510164000049],[-122.95621332299999,47.037826388000042],[-122.95504533099995,47.039381424000055],[-122.95248418499995,47.039620235000029],[-122.95109111199997,47.038303991000078],[-122.95225918899996,47.036748957000043]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
161,8928d59142fffff,"""{\""rings\"":[[[-122.89339387499996,47.026311116000045],[-122.89595570699998,47.02607364000005],[-122.89734819299997,47.027391049000073],[-122.89617885099995,47.02894595500004],[-122.89361693699999,47.029183449000072],[-122.89222444799998,47.027866020000033],[-122.89339387499996,47.026311116000045]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
162,8928f3649b3ffff,"""{\""rings\"":[[[-122.86855691899996,47.005461725000032],[-122.87111857899998,47.005224878000035],[-122.87251054999996,47.006543160000035],[-122.87134086399999,47.008098308000058],[-122.86877912199998,47.008335173000035],[-122.86738714799998,47.007016872000065],[-122.86855691899996,47.005461725000032]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
163,8928d59a1b3ffff,"""{\""rings\"":[[[-122.84553176699995,47.058216651000066],[-122.84809543599999,47.057980066000027],[-122.84948810699996,47.059297524000044],[-122.84831711299995,47.060851587000059],[-122.84575336099999,47.061088190000078],[-122.84436068699995,47.059770712000045],[-122.84553176699995,47.058216651000066]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
164,8928d59acbbffff,"""{\""rings\"":[[[-122.86949227799994,47.067570236000051],[-122.87205578999999,47.067333092000069],[-122.87344878399995,47.068649953000033],[-122.87227826799995,47.070203977000062],[-122.86971467399997,47.070441138000035],[-122.86832167699998,47.069124258000045],[-122.86949227799994,47.067570236000051]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
165,8928d5912cbffff,"""{\""rings\"":[[[-122.84860135099996,47.047810516000027],[-122.85116465099998,47.047573911000029],[-122.85255717399997,47.048891556000058],[-122.85138639999997,47.050445825000054],[-122.84882301799996,47.050682448000032],[-122.84743049199994,47.049364783000044],[-122.84860135099996,47.047810516000027]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
166,8928d59166bffff,"""{\""rings\"":[[[-122.85189186799994,47.040275301000065],[-122.85445487999999,47.040038659000061],[-122.85584730299996,47.041356421000046],[-122.85467671599997,47.042910846000041],[-122.85211362199999,47.043147506000025],[-122.85072119599999,47.041829724000081],[-122.85189186799994,47.040275301000065]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
167,8928d591173ffff,"""{\""rings\"":[[[-122.91077658999995,47.050731184000028],[-122.91333883799996,47.050493223000046],[-122.914731846,47.051809800000058],[-122.91356260999999,47.053364356000031],[-122.91100027999994,47.053602334000061],[-122.90960726799995,47.05228573800008],[-122.91077658999995,47.050731184000028]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
168,8928d59028bffff,"""{\""rings\"":[[[-122.93994765699995,47.02777216000004],[-122.94250867799997,47.02753367300005],[-122.94390151399995,47.028850299000055],[-122.94273333299998,47.030405432000066],[-122.94017223099996,47.030643936000047],[-122.93877939099997,47.029327291000072],[-122.93994765699995,47.02777216000004]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
169,8928d59104fffff,"""{\""rings\"":[[[-122.87540203899999,47.043887537000046],[-122.87796472899998,47.04365037000008],[-122.87935737699996,47.044967672000041],[-122.87818733699999,47.046522160000052],[-122.87562456399996,47.046759344000066],[-122.87423191299996,47.045442022000032],[-122.87540203899999,47.043887537000046]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
170,8928d59a1a7ffff,"""{\""rings\"":[[[-122.84970983299996,47.062168977000056],[-122.85227354399996,47.061932284000079],[-122.85366630999999,47.06324958600004],[-122.85249536699996,47.064803600000062],[-122.84993157299999,47.065040310000029],[-122.84853880399999,47.063722989000041],[-122.84970983299996,47.062168977000056]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
171,8928d591357ffff,"""{\""rings\"":[[[-122.88047080499996,47.059325079000075],[-122.88303386799998,47.059087735000048],[-122.88442680399999,47.060404605000031],[-122.88325667999999,47.061958840000045],[-122.88069353499998,47.062196202000052],[-122.87930059599995,47.060879312000054],[-122.88047080499996,47.059325079000075]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
172,8928d591687ffff,"""{\""rings\"":[[[-122.86615810799998,47.02449234200003],[-122.86872038399997,47.024255461000052],[-122.87011264999995,47.025573351000048],[-122.86894264199998,47.027128141000048],[-122.86638028299996,47.027365039000074],[-122.86498801499999,47.026047130000052],[-122.86615810799998,47.02449234200003]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
173,8928d5910dbffff,"""{\""rings\"":[[[-122.87451208499999,47.032399112000064],[-122.87707444599999,47.032162016000029],[-122.87846689899999,47.033479593000038],[-122.87729699499999,47.035034284000062],[-122.87473455099996,47.035271398000077],[-122.87334209499994,47.033953802000042],[-122.87451208499999,47.032399112000064]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
174,8928d591e17ffff,"""{\""rings\"":[[[-122.91958300099998,47.06437143200003],[-122.92214549799996,47.064133221000077],[-122.92353879099994,47.065449346000037],[-122.92236959099995,47.067003702000079],[-122.91980701099999,47.067241931000069],[-122.91841371499999,47.065925786000037],[-122.91958300099998,47.06437143200003]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
175,8928d5916a3ffff,"""{\""rings\"":[[[-122.87033495599997,47.028445962000035],[-122.87289727399997,47.028208974000052],[-122.87428963299999,47.029526707000059],[-122.87311967699998,47.031081448000066],[-122.87055727599994,47.031318454000029],[-122.86916491399995,47.030000701000063],[-122.87033495599997,47.028445962000035]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
176,8928d5911abffff,"""{\""rings\"":[[[-122.92197021599998,47.045353104000071],[-122.92453209699994,47.045114926000053],[-122.92592509499997,47.046431444000063],[-122.92475621699998,47.047986159000061],[-122.92219425399998,47.048224355000059],[-122.92080125199999,47.046907817000033],[-122.92197021599998,47.045353104000071]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
177,8928d591443ffff,"""{\""rings\"":[[[-122.87362236699994,47.020908774000077],[-122.87618439799996,47.020671748000041],[-122.87757665699996,47.021989599000051],[-122.87640688799996,47.023544495000067],[-122.87384477399996,47.023781538000037],[-122.872452512,47.022463668000057],[-122.87362236699994,47.020908774000077]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
178,8928f364b07ffff,"""{\""rings\"":[[[-122.83518541299998,47.02445764600003],[-122.83774825399996,47.024221434000026],[-122.83914029999994,47.025539824000077],[-122.83796950799996,47.027094444000056],[-122.83540658399994,47.027330673000051],[-122.83401453499999,47.02601226400003],[-122.83518541299998,47.02445764600003]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
179,8928d5916dbffff,"""{\""rings\"":[[[-122.84682854399995,47.024830756000028],[-122.84939118399996,47.024594291000028],[-122.85078331799997,47.025912485000049],[-122.84961281599999,47.02746716200005],[-122.84705009299995,47.027703644000042],[-122.84565795599997,47.026385431000051],[-122.84682854399995,47.024830756000028]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
180,8928d59ad87ffff,"""{\""rings\"":[[[-122.89696463999996,47.072254086000044],[-122.89952778999998,47.072016328000075],[-122.90092105299999,47.073332640000046],[-122.89975116999994,47.07488672900007],[-122.89718793799995,47.07512450400003],[-122.89579467099998,47.073808173000032],[-122.89696463999996,47.072254086000044]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
181,8928f364b23ffff,"""{\""rings\"":[[[-122.83936160299999,47.028412765000041],[-122.84192448699997,47.028176446000032],[-122.84331662699998,47.029494679000038],[-122.84214588599997,47.031049250000081],[-122.83958291999994,47.03128558700007],[-122.83819077699997,47.029967335000038],[-122.83936160299999,47.028412765000041]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
182,8928d59147bffff,"""{\""rings\"":[[[-122.87779919599996,47.024862277000068],[-122.88036126999998,47.024625143000037],[-122.88175362299995,47.025942837000059],[-122.88058390499998,47.027497684000025],[-122.87802174899997,47.027734835000047],[-122.87662939299997,47.026417122000055],[-122.87779919599996,47.024862277000068]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
183,8928d593267ffff,"""{\""rings\"":[[[-122.88414876299998,47.006913170000075],[-122.88671018099996,47.006675980000068],[-122.88810228499995,47.007993977000069],[-122.88693297499998,47.009549185000026],[-122.88437147499997,47.00978639300007],[-122.88297936799995,47.008468376000053],[-122.88414876299998,47.006913170000075]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
184,8928d591e87ffff,"""{\""rings\"":[[[-122.92309055299995,47.05970816100006],[-122.92565284499995,47.059469895000063],[-122.92704608599996,47.060786070000063],[-122.92587703899994,47.062340530000029],[-122.92331466499996,47.062578814000062],[-122.92192141999999,47.061262619000047],[-122.92309055299995,47.05970816100006]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
185,8928d591c0bffff,"""{\""rings\"":[[[-122.93823889899994,47.055407086000059],[-122.94080078299999,47.05516851200008],[-122.94219405999996,47.056484540000042],[-122.94102545699997,47.058039161000067],[-122.93846348999995,47.058277752000038],[-122.93707020999994,47.056961705000049],[-122.93823889899994,47.055407086000059]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
186,8928d59121bffff,"""{\""rings\"":[[[-122.85651300199999,47.049972417000049],[-122.85907622099995,47.049735631000033],[-122.86046883599994,47.051053100000047],[-122.85929823299995,47.052607373000058],[-122.85673493099995,47.052844176000065],[-122.85534231399998,47.051526688000081],[-122.85651300199999,47.049972417000049]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
187,8928d591c23ffff,"""{\""rings\"":[[[-122.95010439699996,47.058638913000038],[-122.95266615899999,47.058400069000072],[-122.95405957199995,47.059715832000052],[-122.95289122499997,47.06127045900007],[-122.95032937999997,47.061509320000027],[-122.94893596399999,47.060193538000078],[-122.95010439699996,47.058638913000038]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
188,8928d591ea3ffff,"""{\""rings\"":[[[-122.92727032899995,47.063656636000076],[-122.92983266299996,47.063418262000027],[-122.93122599899999,47.064734280000039],[-122.93005700299994,47.066288691000068],[-122.92749458699996,47.06652708200005],[-122.92610124799995,47.065211045000069],[-122.92727032899995,47.063656636000076]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
189,8928d591c27ffff,"""{\""rings\"":[[[-122.95405957199995,47.059715832000052],[-122.95662129399994,47.059476898000071],[-122.95801475199994,47.060792573000072],[-122.95684649199995,47.06234720100008],[-122.95428468699998,47.062586153000041],[-122.95289122499997,47.06127045900007],[-122.95405957199995,47.059715832000052]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
190,8928d591237ffff,"""{\""rings\"":[[[-122.87233637099996,47.054294077000065],[-122.87489943199995,47.054056931000048],[-122.87629222799995,47.055374047000043],[-122.87512196699998,47.056928328000026],[-122.87255882499994,47.057165492000081],[-122.87116602499998,47.055848357000059],[-122.87233637099996,47.054294077000065]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
191,8928d59034fffff,"""{\""rings\"":[[[-122.95688874699999,47.046439604000057],[-122.95945001799998,47.046200669000029],[-122.96084327799997,47.047516599000062],[-122.95967527099998,47.049071484000081],[-122.95711391799995,47.049310437000031],[-122.95572065499999,47.047994488000029],[-122.95688874699999,47.046439604000057]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
192,8928d5914afffff,"""{\""rings\"":[[[-122.89667870299996,47.018773592000059],[-122.89924024799996,47.018536078000068],[-122.90063263399998,47.019853605000037],[-122.89946347899996,47.02140866600007],[-122.89690185199998,47.021646197000052],[-122.89550946199995,47.020328650000067],[-122.89667870299996,47.018773592000059]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
193,8928d591c43ffff,"""{\""rings\"":[[[-122.93055292199995,47.056122481000045],[-122.93311496899997,47.055884070000047],[-122.93450820399994,47.057200206000061],[-122.93333939499996,47.058754772000043],[-122.93077726599995,47.058993201000078],[-122.92938402799996,47.057677046000038],[-122.93055292199995,47.056122481000045]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
194,8928d5914cfffff,"""{\""rings\"":[[[-122.87713162499995,47.016243884000062],[-122.87969345099998,47.016006804000028],[-122.88108565899995,47.017324704000032],[-122.87991604299998,47.018879703000039],[-122.87735413399997,47.019116801000052],[-122.87596192299998,47.017798882000079],[-122.87713162499995,47.016243884000062]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
195,8928d591253ffff,"""{\""rings\"":[[[-122.84882301799996,47.050682448000032],[-122.85138639999997,47.050445825000054],[-122.85277897199995,47.051763401000073],[-122.85160816399997,47.05331761900004],[-122.84904469999998,47.053554259000066],[-122.84765212499997,47.052236664000077],[-122.84882301799996,47.050682448000032]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
196,8928d59036bffff,"""{\""rings\"":[[[-122.96106857999996,47.050387345000047],[-122.96362989199997,47.050148301000036],[-122.96502324599999,47.05146407400008],[-122.96385529199995,47.053018911000038],[-122.96129389699996,47.05325797200004],[-122.95990053999998,47.051942179000037],[-122.96106857999996,47.050387345000047]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
197,8928d59a503ffff,"""{\""rings\"":[[[-122.83277812099999,47.043484573000057],[-122.83534157999998,47.04324832900005],[-122.83673391999997,47.044566326000052],[-122.835562805,47.046120588000065],[-122.83299926399997,47.046356849000063],[-122.83160692099995,47.045038832000046],[-122.83277812099999,47.043484573000057]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
198,8928f364b93ffff,"""{\""rings\"":[[[-122.83430087399995,47.012964339000064],[-122.83686338499996,47.012728198000048],[-122.83825523699994,47.014046861000054],[-122.83708458099994,47.015601686000025],[-122.83452198599997,47.015837845000078],[-122.83313013199995,47.014519161000067],[-122.83430087399995,47.012964339000064]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
199,8928f364917ffff,"""{\""rings\"":[[[-122.86109357199996,47.009045443000048],[-122.86365547599996,47.008808741000053],[-122.86504745299999,47.010127062000038],[-122.86387752999997,47.011682104000045],[-122.86131554299999,47.011918824000077],[-122.859923563,47.010600484000065],[-122.86109357199996,47.009045443000048]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
200,8928d591043ffff,"""{\""rings\"":[[[-122.87517952799999,47.041015610000045],[-122.87774213599999,47.040778461000059],[-122.87913473499998,47.04209583200003],[-122.87796472899998,47.04365037000008],[-122.87540203899999,47.043887537000046],[-122.87400943699998,47.042570147000049],[-122.87517952799999,47.041015610000045]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
201,8928f364bafffff,"""{\""rings\"":[[[-122.84287377499999,47.023748848000025],[-122.84543645499997,47.023512474000029],[-122.84682854399995,47.024830756000028],[-122.84565795599997,47.026385431000051],[-122.84309519399994,47.026621823000028],[-122.84170310199994,47.025303522000058],[-122.84287377499999,47.023748848000025]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
202,8928d59034bffff,"""{\""rings\"":[[[-122.95293422099996,47.045362432000047],[-122.95549553199999,47.045123586000045],[-122.95688874699999,47.046439604000057],[-122.95572065499999,47.047994488000029],[-122.95315926199999,47.048233351000079],[-122.95176604299996,47.046917314000041],[-122.95293422099996,47.045362432000047]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
203,8928f364933ffff,"""{\""rings\"":[[[-122.86526955499994,47.013000357000067],[-122.86783150199994,47.012763547000077],[-122.86922357299994,47.014081711000074],[-122.86805369999996,47.015636705000077],[-122.86549167099997,47.015873532000057],[-122.86409959699995,47.014555349000034],[-122.86526955499994,47.013000357000067]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
204,8928d591c7bffff,"""{\""rings\"":[[[-122.93473267899998,47.060070839000048],[-122.93729476699997,47.059832320000055],[-122.93868809599996,47.061148299000081],[-122.93751933999999,47.062702816000069],[-122.93495716799998,47.062941352000053],[-122.93356383599996,47.061625354000057],[-122.93473267899998,47.060070839000048]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
205,8928d591507ffff,"""{\""rings\"":[[[-122.91667221399996,47.027044052000065],[-122.91923363999996,47.026806070000077],[-122.92062630199996,47.028123088000029],[-122.91945753999994,47.029678107000052],[-122.91689603099996,47.02991610600003],[-122.91550336599994,47.028599069000052],[-122.91667221399996,47.027044052000065]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
206,8928d59128bffff,"""{\""rings\"":[[[-122.86002475999999,47.045309395000061],[-122.86258777499995,47.045072554000058],[-122.86398033699999,47.046390071000076],[-122.86280988799996,47.047944449000056],[-122.86024678999996,47.04818130700005],[-122.85885422499996,47.046863770000073],[-122.86002475999999,47.045309395000061]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
