,geoid,HasData,aggregationMethod,KeyUSFacts_TOTPOP_CY,KeyUSFacts_GQPOP_CY,KeyUSFacts_DIVINDX_CY,KeyUSFacts_TOTHH_CY,KeyUSFacts_AVGHHSZ_CY,KeyUSFacts_MEDHINC_CY,KeyUSFacts_AVGHINC_CY,KeyUSFacts_PCI_CY,KeyUSFacts_TOTHU_CY,KeyUSFacts_OWNER_CY,KeyUSFacts_RENTER_CY,KeyUSFacts_VACANT_CY,KeyUSFacts_MEDVAL_CY,KeyUSFacts_AVGVAL_CY,KeyUSFacts_POPGRW10CY,KeyUSFacts_HHGRW10CY,KeyUSFacts_FAMGRW10CY,KeyUSFacts_DPOP_CY,KeyUSFacts_DPOPWRK_CY,KeyUSFacts_DPOPRES_CY,sports_MP33002a_B,sports_MP33005a_B,sports_MP33006a_B,sports_MP33009a_B,sports_MP33015a_B,sports_MP33020a_B,sports_MP33023a_B,sports_MP33030a_B,sports_MP33033a_B,sports_MP33034a_B,sports_MP33035a_B,sports_MP33050a_B,SHAPE
0,410510064033,1,BlockApportionment:US.BlockGroups,1235.0,0.0,66.2,505.0,2.45,61338.0,73218.0,29939.0,555.0,160.0,345.0,50.0,440385.0,462188.0,0.54,0.49,0.42,1515.0,901.0,614.0,32.0,45.0,96.0,66.0,119.0,142.0,19.0,213.0,76.0,23.0,44.0,15.0,"{""rings"":[[[-122.73110547499999,45.447119455000063],[-122.73073647499996,45.447451455000078],[-122.73059547599996,45.447613455000067],[-122.73029147499994,45.447961455000041],[-122.72972147499996,45.448774456000081],[-122.72831747599997,45.45101545600005],[-122.72824947599997,45.451140455000029],[-122.72779847599998,45.451648455000054],[-122.72747147599995,45.451940456000045],[-122.72722347599995,45.452136456000062],[-122.72690547599996,45.452360456000065],[-122.72683447599996,45.45240345600007],[-122.72646447599999,45.452627456000073],[-122.72630047599995,45.452719456000068],[-122.72583947599998,45.452905456000053],[-122.72501847599995,45.453184456000031],[-122.72458447499997,45.453315456000041],[-122.72430847599998,45.453382456000043],[-122.72394647599998,45.453445456000054],[-122.72365747599997,45.453491456000052],[-122.72333147499995,45.453524456000025],[-122.72301247599995,45.453544457000078],[-122.72253747499997,45.453540456000042],[-122.72210847499997,45.453544457000078],[-122.72130547499995,45.453535457000044],[-122.72112747499995,45.453538457000036],[-122.721783475,45.45257945600008],[-122.72248447499999,45.451572456000065],[-122.72281147499996,45.45111345600003],[-122.72321247499997,45.450676456000053],[-122.72328747499995,45.45060645600006],[-122.72348247499997,45.450391456000034],[-122.72371847499994,45.450095456000042],[-122.72392547499999,45.449789456000076],[-122.72406347499998,45.449553456000046],[-122.72418047499997,45.449319456000069],[-122.72524147399997,45.447517456000071],[-122.72570647499998,45.446803455000065],[-122.72597847499998,45.446377455000061],[-122.72618347499997,45.446091456000033],[-122.72665647499997,45.445378455000025],[-122.72691847399994,45.444966455000042],[-122.72703047499999,45.444664456000055],[-122.72717547399998,45.444178455000042],[-122.72708347399998,45.443948455000054],[-122.72708047399999,45.443243456000062],[-122.72708047399999,45.442531455000051],[-122.72707847299995,45.441820455000027],[-122.72909247399997,45.441820455000027],[-122.73107947399996,45.441821455000081],[-122.73108047399995,45.442531455000051],[-122.73108147399995,45.443243455000072],[-122.73107847499995,45.443954455000039],[-122.73107647499995,45.444666455000061],[-122.73109347499997,45.445369455000048],[-122.73109647499996,45.445799455000042],[-122.731059475,45.446089455000049],[-122.73107147499996,45.44680145500007],[-122.73103747499999,45.447028455000066],[-122.73110547499999,45.447119455000063]]],""spatialReference"":{""wkid"":4326,""latestWkid"":4326}}"
1,410510065011,1,BlockApportionment:US.BlockGroups,1997.0,0.0,33.7,860.0,2.32,128390.0,177596.0,76545.0,882.0,722.0,138.0,22.0,480323.0,519771.0,0.38,0.27,0.21,1494.0,611.0,883.0,90.0,67.0,237.0,146.0,352.0,252.0,87.0,490.0,111.0,90.0,101.0,95.0,"{""rings"":[[[-122.73413547799998,45.460411456000031],[-122.73399747799999,45.460514455000066],[-122.73388247899999,45.460630455000057],[-122.73369747899994,45.460849455000073],[-122.73364447899996,45.460926455000049],[-122.73355547799997,45.461086456000032],[-122.73352047799995,45.461168456000053],[-122.73346447899996,45.461336455000037],[-122.73344647899995,45.461422455000047],[-122.73343847899997,45.461513455000045],[-122.73344447899996,45.461841456000059],[-122.73297347899995,45.461842456000056],[-122.73255247899999,45.461843456000054],[-122.73243147799997,45.461844456000051],[-122.73241147799996,45.46190045600008],[-122.73240947899995,45.462751456000035],[-122.73235847899997,45.462845456000025],[-122.73236447899995,45.463248456000031],[-122.73237247899999,45.464520456000059],[-122.73233347899998,45.464597456000035],[-122.73232547899994,45.465629456000045],[-122.73231447999996,45.467215456000076],[-122.73221647899999,45.467500456000039],[-122.73083847999999,45.467494456000054],[-122.72999247999996,45.467491456000062],[-122.72882947899996,45.467486457000064],[-122.72853547899996,45.467492457000048],[-122.72603847899995,45.467479457000081],[-122.72523247899994,45.467475457000035],[-122.72505647899999,45.467474457000037],[-122.72416347899997,45.46746945700005],[-122.72318347799995,45.467464457000062],[-122.72319147799999,45.466648457000076],[-122.72316547799994,45.465481457000067],[-122.72318547799995,45.464487457000075],[-122.72316247699996,45.464153457000066],[-122.72316947799999,45.462908457000026],[-122.72319247699994,45.462765457000046],[-122.72322047699998,45.462682457000028],[-122.72326747799997,45.462583457000051],[-122.72333347699998,45.462491456000066],[-122.72343547699995,45.462394457000073],[-122.72354547799995,45.462318456000048],[-122.72365947699996,45.462259456000027],[-122.72377147799995,45.462201457000049],[-122.72390947799994,45.462090457000045],[-122.72397847699995,45.462023456000054],[-122.72414247699999,45.461839457000053],[-122.72423047699999,45.461690456000042],[-122.72435547799995,45.461430457000063],[-122.72454147699995,45.461135456000079],[-122.72464447699997,45.461013457000035],[-122.72474547799999,45.460908457000073],[-122.72482547699997,45.46084245600008],[-122.72490747699999,45.460788456000046],[-122.72497647799997,45.460742456000048],[-122.72534547699996,45.460532457000056],[-122.72478247699996,45.460269456000049],[-122.72453847699995,45.460296456000037],[-122.72413747699994,45.459844456000042],[-122.72328147699994,45.459639457000037],[-122.72316747599996,45.459525457000041],[-122.72290347699999,45.458786456000041],[-122.72222447599995,45.45810745700004],[-122.72190247599997,45.457450456000061],[-122.72110347599994,45.457201457000053],[-122.72092147599994,45.456745457000068],[-122.72030947499997,45.456745457000068],[-122.72087147599996,45.456108456000038],[-122.72084847499997,45.455978456000025],[-122.72126847499999,45.455445456000064],[-122.72104147599998,45.455404456000053],[-122.72103847499994,45.45469345600003],[-122.72186847599994,45.454701457000056],[-122.72231447599995,45.454705456000056],[-122.72431347599996,45.454721456000073],[-122.72532747599996,45.454729456000052],[-122.72613347599997,45.454736456000035],[-122.72626447599998,45.454728456000055],[-122.72730147599998,45.454737456000032],[-122.72836347699996,45.454750456000056],[-122.72938047599996,45.454762456000026],[-122.72999147699994,45.454769455000076],[-122.73038747699997,45.454771455000071],[-122.73140847699995,45.454776456000047],[-122.73166247599994,45.454776456000047],[-122.73241947699995,45.454789455000025],[-122.73332447699994,45.454797455000062],[-122.73343247699995,45.454790456000069],[-122.73337347699999,45.45488045500008],[-122.73337847799996,45.456080455000063],[-122.73338147699997,45.457067455000072],[-122.73356747799994,45.457484455000042],[-122.73352047799995,45.457576456000027],[-122.73350647799998,45.457685455000046],[-122.73350747799998,45.457703455000058],[-122.73351347799996,45.457926455000063],[-122.73350447799999,45.457993455000064],[-122.73349247799996,45.458075455000028],[-122.73346047799998,45.458150456000055],[-122.73343747799998,45.458230456000081],[-122.73342747799995,45.458346456000072],[-122.73343147799994,45.458487456000057],[-122.73342947799995,45.458896456000048],[-122.73344547799996,45.45912445600004],[-122.73347847799999,45.459254455000064],[-122.73357247799999,45.459426455000028],[-122.73407347799997,45.460189455000034],[-122.73424747799999,45.46038145600005],[-122.73413547799998,45.460411456000031]]],""spatialReference"":{""wkid"":4326,""latestWkid"":4326}}"
2,410510001023,1,BlockApportionment:US.BlockGroups,806.0,0.0,35.5,338.0,2.38,106192.0,111056.0,46572.0,352.0,189.0,149.0,14.0,559476.0,561640.0,1.34,1.13,1.06,872.0,487.0,385.0,32.0,35.0,96.0,83.0,111.0,112.0,29.0,176.0,55.0,47.0,49.0,30.0,"{""rings"":[[[-122.65301046699994,45.46504146400008],[-122.65300946699995,45.465754464000042],[-122.65300846699995,45.466467464000061],[-122.65300746699995,45.46718046400008],[-122.65300646699995,45.467893464000042],[-122.65300546699996,45.468606464000061],[-122.65101746699997,45.468605465000053],[-122.64902946699999,45.468604465000055],[-122.64824446599999,45.468603465000058],[-122.64812546699994,45.46860646500005],[-122.64808446699999,45.468302465000079],[-122.64803046699996,45.467889465000042],[-122.64800146699997,45.467658465000056],[-122.64793346599998,45.46712846500003],[-122.64784646599998,45.466466464000064],[-122.64781546599994,45.466251465000028],[-122.64779946599998,45.466211464000025],[-122.64777046599994,45.466167465000069],[-122.64771946599996,45.466119465000077],[-122.64721846699996,45.465748465000047],[-122.64713946599994,45.465676465000058],[-122.64707146599994,45.465573465000034],[-122.64705146599999,45.465516465000064],[-122.64705146599999,45.46503746500008],[-122.64705646599998,45.464324465000061],[-122.64903646599998,45.464325465000059],[-122.65102346699996,45.464327464000064],[-122.65301146599995,45.464328464000062],[-122.65301046699994,45.46504146400008]]],""spatialReference"":{""wkid"":4326,""latestWkid"":4326}}"
3,410510001024,1,BlockApportionment:US.BlockGroups,1086.0,0.0,29.0,473.0,2.3,94737.0,138711.0,60414.0,495.0,279.0,194.0,22.0,550862.0,569803.0,0.73,0.54,0.51,973.0,557.0,416.0,44.0,49.0,134.0,116.0,155.0,157.0,40.0,246.0,77.0,65.0,69.0,42.0,"{""rings"":[[[-122.66649846899998,45.464938463000067],[-122.66612446899995,45.464954463000026],[-122.66574946799994,45.464968463000048],[-122.66407746799996,45.465038463000042],[-122.66377446799999,45.465048463000073],[-122.66212446799994,45.465045463000081],[-122.66191546899995,45.465045463000081],[-122.66180546799995,45.465045463000081],[-122.66175246899996,45.465045463000081],[-122.66155246799997,45.465046463000078],[-122.66105646799997,45.465049463000071],[-122.66107246799999,45.465578463000043],[-122.66107846799997,45.46575946300004],[-122.66106846899999,45.466190464000078],[-122.66167846899998,45.466190464000078],[-122.66173246899996,45.468391463000046],[-122.66124246899994,45.468392463000043],[-122.66125446899997,45.468894464000073],[-122.65900546899996,45.469899464000036],[-122.65900646899996,45.46932346400007],[-122.65900746899996,45.468610464000051],[-122.65698146799997,45.468609464000053],[-122.65499346799999,45.468608464000056],[-122.65300546699996,45.468606464000061],[-122.65300646699995,45.467893464000042],[-122.65300746699995,45.46718046400008],[-122.65300846699995,45.466467464000061],[-122.65300946699995,45.465754464000042],[-122.65301046699994,45.46504146400008],[-122.65301146599995,45.464328464000062],[-122.65499946699998,45.464329464000059],[-122.65698746699996,45.464330463000067],[-122.65800046799995,45.464331463000065],[-122.65901446699996,45.464331463000065],[-122.66002746799995,45.464326463000077],[-122.66099446799996,45.464332463000062],[-122.66115246799995,45.464332463000062],[-122.66134346799998,45.464331463000065],[-122.66138546799999,45.464332463000062],[-122.66141746799997,45.464332463000062],[-122.66146346799997,45.464332463000062],[-122.66216446799996,45.464336463000052],[-122.66358446799995,45.464344463000032],[-122.66384846799997,45.464346463000027],[-122.66552946799999,45.464342463000037],[-122.66601446899995,45.464341463000039],[-122.66649846799999,45.464339463000044],[-122.66649846899998,45.464938463000067]]],""spatialReference"":{""wkid"":4326,""latestWkid"":4326}}"
4,410510062002,1,BlockApportionment:US.BlockGroups,901.0,0.0,28.1,395.0,2.28,119302.0,161812.0,70938.0,410.0,327.0,68.0,15.0,576114.0,588456.0,0.8,0.66,0.59,704.0,393.0,311.0,24.0,24.0,92.0,66.0,100.0,94.0,27.0,231.0,40.0,54.0,61.0,33.0,"{""rings"":[[[-122.69736447399998,45.464531460000046],[-122.69662347299999,45.46492046000003],[-122.69607647399999,45.465208460000042],[-122.69433247399996,45.466152460000046],[-122.69327247299998,45.466876460000037],[-122.69279847399997,45.467172460000029],[-122.69229847299999,45.467540460000066],[-122.69188847299995,45.467865460000041],[-122.69170547399995,45.468036461000054],[-122.69163047299998,45.468112461000032],[-122.69144647299998,45.468293460000041],[-122.69061547299998,45.469161461000056],[-122.69035147399995,45.469438461000038],[-122.69013147399994,45.46959946100003],[-122.68993447399998,45.469694461000074],[-122.68949547399995,45.469905461000053],[-122.68896047399994,45.470091461000038],[-122.68846647299995,45.470212460000027],[-122.68810347399994,45.470270461000041],[-122.68747847399999,45.470352461000061],[-122.68697047399996,45.47037946100005],[-122.68647647299997,45.470398461000059],[-122.68590547299999,45.470401461000051],[-122.68595147299999,45.470280461000073],[-122.68613547399997,45.469892461000029],[-122.68619847299999,45.46972646100005],[-122.68643547299996,45.469096461000049],[-122.68642147299994,45.469002461000059],[-122.68662847299998,45.468999461000067],[-122.68680947299998,45.469012461000034],[-122.68696247299999,45.46903246100004],[-122.68745547299994,45.469097461000047],[-122.68757147299999,45.469101461000037],[-122.68758847299995,45.469033461000038],[-122.68758447299996,45.468662461000065],[-122.68752847299999,45.468502461000071],[-122.68745147299995,45.468394461000059],[-122.68734247299994,45.468263461000049],[-122.68714247299999,45.468133461000036],[-122.68695047299997,45.468070461000025],[-122.68664247299995,45.46788046100005],[-122.68643747299996,45.467735461000075],[-122.68624347199994,45.467569461000039],[-122.68611247199999,45.467421461000072],[-122.68604047199995,45.467332461000069],[-122.68586247299999,45.467090461000055],[-122.68584147299998,45.467021461000058],[-122.68583047199996,45.466952461000062],[-122.68582347199998,45.466225461000079],[-122.68583047199996,45.465445461000058],[-122.68549647199995,45.465440461000071],[-122.68551047099999,45.46419846100008],[-122.68552247099996,45.462972461000049],[-122.68653347199995,45.462828460000026],[-122.68665047099995,45.462815460000058],[-122.68688247199998,45.462848461000078],[-122.68704847199996,45.462904460000061],[-122.68714347199995,45.462947461000056],[-122.68754347199996,45.463160461000029],[-122.68803947199996,45.463399461000051],[-122.68816847199997,45.463432461000025],[-122.68825547199998,45.463449460000049],[-122.68834047199999,45.463460460000078],[-122.68844447199996,45.463461460000076],[-122.68855547199996,45.463443460000065],[-122.68866047199998,45.463425460000053],[-122.68875347199997,45.463403460000052],[-122.68977047199996,45.463038460000064],[-122.68989647199999,45.462982460000035],[-122.68997647199996,45.463057460000073],[-122.69047547299999,45.463230460000034],[-122.69131247199999,45.463516460000051],[-122.69300447299997,45.463508460000071],[-122.69517447299995,45.463500459000045],[-122.69732847399996,45.463494460000049],[-122.69734947399996,45.464163459000076],[-122.69736047399999,45.464363460000072],[-122.69736447399998,45.464531460000046]]],""spatialReference"":{""wkid"":4326,""latestWkid"":4326}}"
